year,month,diff_temp
1973,5,.23
1973,6,.19
1973,7,.13
1973,8,.05
1973,9,.09
1973,10,.10
1973,11,.04
1973,12,-.07
1974,1,-0.1
1974,2,-0.27
1974,3,-0.05
1974,4,-0.12
1974,5,-.04
1974,6,-.05
1974,7,-.03
1974,8,.10
1974,9,-.08
1974,10,-.05
1974,11,-.08
1974,12,-.08
1975,1,0.1
1975,2,0.08
1975,3,0.12
1975,4,0.04
1975,5,.16
1975,6,-.01
1975,7,-.01
1975,8,-.17
1975,9,-.02
1975,10,-.11
1975,11,-.17
1975,12,-.17
1976,1,-0.03
1976,2,-0.06
1976,3,-0.22
1976,4,-0.07
1976,5,-.21
1976,6,-.12
1976,7,-.10
1976,8,-.12
1976,9,-.06
1976,10,-.24
1976,11,-.06
1976,12,.11
1977,1,0.19
1977,2,0.23
1977,3,0.24
1977,4,0.26
1977,5,.33
1977,6,.27
1977,7,.20
1977,8,.18
1977,9,.02
1977,10,.03
1977,11,.16
1977,12,.03
1978,1,0.06
1978,2,0.1
1978,3,0.19
1978,4,0.17
1978,5,.09
1978,6,-.01
1978,7,.04
1978,8,-.13
1978,9,.06
1978,10,.03
1978,11,.14
1978,12,.08
1979,1,0.09
1979,2,-0.1
1979,3,0.19
1979,4,0.15
1979,5,.04
1979,6,.14
1979,7,.04
1979,8,.17
1979,9,.25
1979,10,.26
1979,11,.28
1979,12,.48
1980,1,0.3
1980,2,0.4
1980,3,0.3
1980,4,0.3
1980,5,.35
1980,6,.20
1980,7,.22
1980,8,.18
1980,9,.20
1980,10,.13
1980,11,.30
1980,12,.22
1981,1,0.53
1981,2,0.42
1981,3,0.48
1981,4,0.32
1981,5,.25
1981,6,.29
1981,7,.32
1981,8,.35
1981,9,.15
1981,10,.12
1981,11,.23
1981,12,.41
1982,1,0.05
1982,2,0.15
1982,3,0.03
1982,4,0.15
1982,5,.18
1982,6,.06
1982,7,.14
1982,8,.04
1982,9,.14
1982,10,.13
1982,11,.18
1982,12,.43
1983,1,0.53
1983,2,0.43
1983,3,0.42
1983,4,0.27
1983,5,.34
1983,6,.22
1983,7,.18
1983,8,.35
1983,9,.37
1983,10,.17
1983,11,.30
1983,12,.17
1984,1,0.31
1984,2,0.14
1984,3,0.26
1984,4,0.06
1984,5,.33
1984,6,.02
1984,7,.19
1984,8,.19
1984,9,.21
1984,10,.14
1984,11,.07
1984,12,-.04
1985,1,0.22
1985,2,-0.04
1985,3,0.17
1985,4,0.12
1985,5,.14
1985,6,.15
1985,7,.04
1985,8,.16
1985,9,.13
1985,10,.11
1985,11,.05
1985,12,.14
1986,1,0.26
1986,2,0.37
1986,3,0.3
1986,4,0.22
1986,5,.21
1986,6,.12
1986,7,.11
1986,8,.16
1986,9,.03
1986,10,.15
1986,11,.10
1986,12,.13
1987,1,0.32
1987,2,0.43
1987,3,0.18
1987,4,0.24
1987,5,.25
1987,6,.35
1987,7,.40
1987,8,.25
1987,9,.35
1987,10,.33
1987,11,.29
1987,12,.46
1988,1,0.57
1988,2,0.44
1988,3,0.51
1988,4,0.43
1988,5,.44
1988,6,.40
1988,7,.33
1988,8,.39
1988,9,.37
1988,10,.38
1988,11,.12
1988,12,.29
1989,1,0.12
1989,2,0.3
1989,3,0.36
1989,4,0.29
1989,5,.17
1989,6,.15
1989,7,.34
1989,8,.33
1989,9,.34
1989,10,.29
1989,11,.20
1989,12,.37
1990,1,0.41
1990,2,0.44
1990,3,0.8
1990,4,0.56
1990,5,.45
1990,6,.38
1990,7,.46
1990,8,.34
1990,9,.23
1990,10,.45
1990,11,.46
1990,12,.41
1991,1,0.42
1991,2,0.5
1991,3,0.35
1991,4,0.51
1991,5,.34
1991,6,.53
1991,7,.47
1991,8,.39
1991,9,.44
1991,10,.29
1991,11,.30
1991,12,.32
1992,1,0.47
1992,2,0.4
1992,3,0.48
1992,4,0.27
1992,5,.31
1992,6,.26
1992,7,.09
1992,8,.08
1992,9,-.01
1992,10,.06
1992,11,.03
1992,12,.22
1993,1,0.35
1993,2,0.37
1993,3,0.36
1993,4,0.28
1993,5,.28
1993,6,.23
1993,7,.25
1993,8,.11
1993,9,.11
1993,10,.23
1993,11,.03
1993,12,.18
1994,1,0.26
1994,2,0.02
1994,3,0.29
1994,4,0.41
1994,5,.28
1994,6,.44
1994,7,.30
1994,8,.21
1994,9,.31
1994,10,.42
1994,11,.44
1994,12,.39
1995,1,0.52
1995,2,0.79
1995,3,0.47
1995,4,0.47
1995,5,.27
1995,6,.43
1995,7,.45
1995,8,.45
1995,9,.33
1995,10,.47
1995,11,.44
1995,12,.26
1996,1,0.24
1996,2,0.46
1996,3,0.33
1996,4,0.33
1996,5,.27
1996,6,.29
1996,7,.37
1996,8,.48
1996,9,.25
1996,10,.24
1996,11,.38
1996,12,.37
1997,1,0.33
1997,2,0.41
1997,3,0.52
1997,4,0.34
1997,5,.35
1997,6,.54
1997,7,.34
1997,8,.41
1997,9,.52
1997,10,.61
1997,11,.64
1997,12,.59
1998,1,0.58
1998,2,0.88
1998,3,0.63
1998,4,0.64
1998,5,.68
1998,6,.77
1998,7,.66
1998,8,.65
1998,9,.42
1998,10,.41
1998,11,.43
1998,12,.55
1999,1,0.48
1999,2,0.64
1999,3,0.32
1999,4,0.32
1999,5,.26
1999,6,.36
1999,7,.38
1999,8,.31
1999,9,.38
1999,10,.34
1999,11,.37
1999,12,.40
2000,1,0.25
2000,2,0.56
2000,3,0.55
2000,4,0.56
2000,5,.36
2000,6,.40
2000,7,.39
2000,8,.42
2000,9,.38
2000,10,.26
2000,11,.30
2000,12,.28
2001,1,0.45
2001,2,0.44
2001,3,0.55
2001,4,0.5
2001,5,.58
2001,6,.52
2001,7,.59
2001,8,.49
2001,9,.52
2001,10,.50
2001,11,.72
2001,12,.56
2002,1,0.77
2002,2,0.79
2002,3,0.88
2002,4,0.58
2002,5,.64
2002,6,.53
2002,7,.62
2002,8,.53
2002,9,.63
2002,10,.54
2002,11,.59
2002,12,.44
2003,1,0.75
2003,2,0.58
2003,3,0.6
2003,4,0.55
2003,5,.61
2003,6,.48
2003,7,.58
2003,8,.65
2003,9,.62
2003,10,.73
2003,11,.53
2003,12,.75
2004,1,0.58
2004,2,0.73
2004,3,0.63
2004,4,0.61
2004,5,.37
2004,6,.44
2004,7,.26
2004,8,.46
2004,9,.50
2004,10,.61
2004,11,.73
2004,12,.51
2005,1,0.75
2005,2,0.6
2005,3,0.74
2005,4,0.67
2005,5,.63
2005,6,.65
2005,7,.61
2005,8,.60
2005,9,.71
2005,10,.75
2005,11,.73
2005,12,.68
2006,1,0.56
2006,2,0.73
2006,3,0.63
2006,4,0.47
2006,5,.48
2006,6,.66
2006,7,.54
2006,8,.70
2006,9,.65
2006,10,.70
2006,11,.74
2006,12,.79
2007,1,1.02
2007,2,0.7
2007,3,0.72
2007,4,0.76
2007,5,.69
2007,6,.61
2007,7,.59
2007,8,.60
2007,9,.60
2007,10,.59
2007,11,.59
2007,12,.50
2008,1,0.3
2008,2,0.38
2008,3,0.75
2008,4,0.54
2008,5,.49
2008,6,.49
2008,7,.60
2008,8,.46
2008,9,.61
2008,10,.67
2008,11,.69
2008,12,.54
2009,1,0.65
2009,2,0.53
2009,3,0.53
2009,4,0.61
2009,5,.65
2009,6,.64
2009,7,.73
2009,8,.69
2009,9,.71
2009,10,.66
2009,11,.79
2009,12,.67
2010,1,0.75
2010,2,0.83
2010,3,0.92
